productId,productName,productCategory,unitPrice,productStatus
47,Phone,Fashion,45275.73,ACTIVE
48,Interesting,Furniture,11938.33,ACTIVE
49,Many,Sports,6658.98,ACTIVE
50,Cover,Furniture,12187.71,ACTIVE
51,Seem,Electronics,9560.98,ACTIVE
52,Agent,Furniture,17747.16,ACTIVE
53,Continue,Electronics,36467.34,ACTIVE
54,Challenge,Electronics,36424.27,ACTIVE
55,Civil,Furniture,9550.93,ACTIVE
56,Son,Furniture,9215.23,ACTIVE
57,Report,Furniture,46167.12,ACTIVE
58,Not,Electronics,42805.55,ACTIVE
59,Safe,Electronics,49964.16,INACTIVE
60,Piece,Grocery,46322.03,ACTIVE
61,Serve,Grocery,24307.77,ACTIVE
62,Culture,Grocery,45127.02,ACTIVE
63,Voice,Fashion,49266.18,INACTIVE
64,Young,Fashion,39267.21,ACTIVE
65,Truth,Sports,47868.02,ACTIVE
66,Magazine,Grocery,24359.24,ACTIVE
67,We,Sports,48437.03,ACTIVE
68,Crime,Fashion,3094.83,ACTIVE
69,Loss,Sports,29229.67,INACTIVE
70,Tree,Electronics,26579.75,INACTIVE
71,Sense,Grocery,4051.57,ACTIVE
72,His,Grocery,3444.65,ACTIVE
73,Line,Sports,47082.73,ACTIVE
74,Crime,Sports,29746.23,ACTIVE
75,Catch,Sports,32885.79,ACTIVE
76,Bad,Grocery,46738.58,ACTIVE
77,Explain,Fashion,15743.48,ACTIVE
78,Window,Fashion,33600.93,ACTIVE
79,Spring,Electronics,46454.47,ACTIVE
80,Song,Sports,31076.9,INACTIVE
81,Summer,Grocery,3709.37,ACTIVE
82,Local,Fashion,6666.21,ACTIVE
83,Maintain,Fashion,43969.55,ACTIVE
84,Have,Sports,21937.32,ACTIVE
85,Western,Sports,30603.3,ACTIVE
86,Message,Fashion,40864.35,INACTIVE
87,Eye,Grocery,5224.15,ACTIVE
88,Local,Sports,44491.15,ACTIVE
89,Fire,Grocery,14123.73,ACTIVE
90,Account,Fashion,-100.0,ACTIVE
91,Movie,Electronics,12593.51,ACTIVE
92,Out,Fashion,21207.61,ACTIVE
93,Appear,Grocery,16711.15,ACTIVE
94,Popular,Furniture,13134.67,ACTIVE
95,Compare,Electronics,21412.96,ACTIVE
96,Someone,Grocery,47255.29,ACTIVE
97,Especially,Sports,41738.02,ACTIVE
98,Character,Electronics,21517.85,ACTIVE
99,Just,Electronics,44954.13,ACTIVE
100,Inside,Grocery,10543.32,ACTIVE
101,Brother,Sports,17716.25,ACTIVE
102,Feel,Sports,20348.55,ACTIVE
103,Director,Grocery,46291.9,ACTIVE
104,Include,Grocery,48811.49,ACTIVE
105,Either,Fashion,1288.08,ACTIVE
106,Trip,Grocery,20615.07,ACTIVE
107,Threat,Electronics,39379.36,ACTIVE
108,Learn,Furniture,1984.29,ACTIVE
109,Our,Furniture,40838.5,ACTIVE
110,Teacher,Grocery,41035.79,ACTIVE
111,From,Furniture,33018.66,ACTIVE
112,Bed,Fashion,43224.43,ACTIVE
113,Race,Sports,25494.81,ACTIVE
114,No,Fashion,1428.65,ACTIVE
115,Capital,Fashion,48128.59,ACTIVE
116,Enjoy,Fashion,29848.73,ACTIVE
117,Laugh,Sports,15718.18,INACTIVE
118,Hair,Sports,5826.51,ACTIVE
119,Protect,Furniture,2267.11,ACTIVE
120,Allow,Sports,46282.48,ACTIVE
121,Book,Grocery,47016.14,ACTIVE
122,As,Fashion,3545.19,ACTIVE
123,Career,Electronics,33186.2,ACTIVE
124,Back,Fashion,15051.1,ACTIVE
125,Dark,Fashion,16342.84,ACTIVE
126,She,Furniture,9632.41,ACTIVE
127,Work,Sports,45145.14,ACTIVE
128,Product,Electronics,20333.45,ACTIVE
129,Mother,Sports,10548.63,ACTIVE
130,Beautiful,Furniture,16146.35,ACTIVE
131,Call,Furniture,10724.38,ACTIVE
132,Again,Grocery,47993.61,ACTIVE
133,Certain,Sports,14225.13,ACTIVE
134,Generation,Grocery,40930.25,ACTIVE
135,Student,Grocery,-100.0,ACTIVE
136,Able,Furniture,2358.38,ACTIVE
137,Indicate,Furniture,38436.04,ACTIVE
138,Article,Grocery,31506.78,ACTIVE
139,Response,Furniture,19229.72,ACTIVE
140,Determine,Electronics,32820.1,ACTIVE
141,Painting,Electronics,43029.01,ACTIVE
142,Never,Sports,10981.11,ACTIVE
143,Ever,Electronics,27892.42,ACTIVE
144,Imagine,Sports,40080.76,INACTIVE
145,Team,Furniture,29792.84,ACTIVE
146,If,Sports,35977.73,ACTIVE
147,Memory,Furniture,45347.39,ACTIVE
148,Drop,Furniture,37195.59,ACTIVE
149,Wish,Fashion,37601.25,ACTIVE
150,Attack,Grocery,26088.93,ACTIVE
151,Economy,Fashion,3920.29,ACTIVE
152,Through,Sports,16825.58,ACTIVE
153,Man,Furniture,7583.99,ACTIVE
154,Also,Electronics,35335.64,ACTIVE
155,Role,Furniture,16577.53,ACTIVE
156,Agent,Furniture,10381.38,ACTIVE
157,About,Electronics,38501.3,ACTIVE
158,Hear,Furniture,38291.45,ACTIVE
159,Leg,Fashion,47139.95,ACTIVE
160,Surface,Furniture,42679.73,ACTIVE
161,Manager,Sports,36744.97,ACTIVE
162,Another,Fashion,24437.06,ACTIVE
163,Shoulder,Fashion,1499.79,ACTIVE
164,Every,Grocery,39917.21,ACTIVE
165,Much,Sports,45981.1,ACTIVE
166,Analysis,Sports,45351.1,ACTIVE
167,Program,Furniture,1403.75,ACTIVE
168,Better,Electronics,23111.84,ACTIVE
169,Contain,Furniture,16401.27,ACTIVE
170,Current,Furniture,38073.42,ACTIVE
171,South,Furniture,47562.65,ACTIVE
172,Oil,Electronics,4141.22,ACTIVE
173,As,Fashion,2651.68,ACTIVE
174,Pick,Electronics,3477.49,ACTIVE
175,Probably,Grocery,47483.11,ACTIVE
176,Reach,Grocery,31085.72,ACTIVE
177,Question,Sports,33489.47,INACTIVE
178,Likely,Fashion,23278.45,ACTIVE
179,Response,Sports,8431.07,INACTIVE
180,Six,Grocery,-100.0,INACTIVE
181,Me,Electronics,5449.53,INACTIVE
182,Left,Furniture,28811.05,ACTIVE
183,Find,Electronics,35764.98,ACTIVE
184,Book,Grocery,41537.05,ACTIVE
185,It,Sports,38635.42,ACTIVE
186,Forget,Sports,39821.55,ACTIVE
187,Tree,Furniture,17392.83,ACTIVE
188,Staff,Fashion,3494.39,ACTIVE
189,Fund,Furniture,21031.93,ACTIVE
190,Tree,Furniture,48041.34,ACTIVE
191,Season,Sports,21802.58,INACTIVE
192,Husband,Sports,13540.62,ACTIVE
193,Describe,Sports,23270.44,ACTIVE
194,Former,Electronics,42593.07,ACTIVE
195,Day,Furniture,22567.56,ACTIVE
196,Eat,Fashion,33426.01,ACTIVE
197,Our,Grocery,42555.09,ACTIVE
198,Listen,Fashion,17773.51,ACTIVE
199,Strong,Fashion,44021.98,ACTIVE
200,Cell,Grocery,25855.53,ACTIVE
