inventoryId,productId,availableStock,reorderLevel,inventoryStatus
109,109,88,20,AVAILABLE
110,110,-5,6,LOW STOCK
111,111,9,13,LOW STOCK
112,112,69,6,AVAILABLE
113,113,22,15,AVAILABLE
114,114,2,11,LOW STOCK
115,115,75,9,AVAILABLE
116,116,96,17,AVAILABLE
117,117,9,14,LOW STOCK
118,118,20,12,AVAILABLE
119,119,72,17,AVAILABLE
120,120,86,15,AVAILABLE
121,121,49,9,AVAILABLE
122,122,88,7,AVAILABLE
123,123,64,16,AVAILABLE
124,124,6,8,LOW STOCK
125,125,55,12,AVAILABLE
126,126,9,15,LOW STOCK
127,127,77,17,AVAILABLE
128,128,99,15,AVAILABLE
129,129,3,13,LOW STOCK
130,130,100,19,AVAILABLE
131,131,62,12,AVAILABLE
132,132,45,17,AVAILABLE
133,133,55,10,AVAILABLE
134,134,87,17,AVAILABLE
135,135,10,14,LOW STOCK
136,136,31,7,AVAILABLE
137,137,10,13,LOW STOCK
138,138,19,17,AVAILABLE
139,139,91,9,AVAILABLE
140,140,94,17,AVAILABLE
141,141,40,16,AVAILABLE
142,142,13,7,AVAILABLE
143,143,0,14,LOW STOCK
144,144,56,16,AVAILABLE
145,145,97,13,AVAILABLE
146,146,13,9,AVAILABLE
147,147,11,10,AVAILABLE
148,148,55,19,AVAILABLE
149,149,71,18,AVAILABLE
150,150,13,5,AVAILABLE
151,151,11,16,LOW STOCK
152,152,70,7,AVAILABLE
153,153,76,15,AVAILABLE
154,154,49,5,AVAILABLE
155,155,37,18,AVAILABLE
156,156,49,7,AVAILABLE
157,157,92,12,AVAILABLE
158,158,73,10,AVAILABLE
159,159,87,17,AVAILABLE
160,160,21,9,AVAILABLE
161,161,34,14,AVAILABLE
162,162,34,20,AVAILABLE
163,163,18,7,AVAILABLE
164,164,21,18,AVAILABLE
165,165,-5,18,LOW STOCK
166,166,38,20,AVAILABLE
167,167,100,7,AVAILABLE
168,168,46,13,AVAILABLE
169,169,31,20,AVAILABLE
170,170,76,11,AVAILABLE
171,171,58,8,AVAILABLE
172,172,17,14,AVAILABLE
173,173,0,17,LOW STOCK
174,174,42,17,AVAILABLE
175,175,42,19,AVAILABLE
176,176,42,18,AVAILABLE
177,177,83,9,AVAILABLE
178,178,38,15,AVAILABLE
179,179,77,11,AVAILABLE
180,180,61,15,AVAILABLE
181,181,22,17,AVAILABLE
182,182,40,14,AVAILABLE
183,183,94,20,AVAILABLE
184,184,73,12,AVAILABLE
185,185,41,17,AVAILABLE
186,186,35,17,AVAILABLE
187,187,46,8,AVAILABLE
188,188,72,11,AVAILABLE
189,189,75,10,AVAILABLE
190,190,87,5,AVAILABLE
191,191,93,19,AVAILABLE
192,192,90,11,AVAILABLE
193,193,56,14,AVAILABLE
194,194,88,7,AVAILABLE
195,195,52,20,AVAILABLE
196,196,17,14,AVAILABLE
197,197,30,13,AVAILABLE
198,198,84,9,AVAILABLE
199,199,91,18,AVAILABLE
200,200,48,7,AVAILABLE
